2026-03-02 11:48:18 | INFO     | currency_scrape.service | Waiting 5.2s before next pair...
2026-03-02 11:48:23 | INFO     | forex_scraper.scrape | [USDJPY] Priming cookies via main page...
2026-03-02 11:48:24 | INFO     | forex_scraper.scrape | [USDJPY] Cookies primed. Waiting 2.8s...
2026-03-02 11:48:27 | INFO     | forex_scraper.scrape | [USDJPY] Calling historical API...
2026-03-02 11:48:29 | INFO     | forex_scraper.scrape | [USDJPY] Status: 200
2026-03-02 11:48:29 | INFO     | forex_scraper.scrape | [USDJPY] Parsed 1610 records
2026-03-02 11:48:29 | INFO     | currency_scrape.service | [USDJPY] OK 1610 records scraped
2026-03-02 11:48:29 | INFO     | currency_scrape.service | Waiting 6.0s before next pair...
2026-03-02 11:48:35 | INFO     | forex_scraper.scrape | [GBPINR] Priming cookies via main page...
2026-03-02 11:48:36 | INFO     | forex_scraper.scrape | [GBPINR] Cookies primed. Waiting 3.5s...
2026-03-02 11:48:40 | INFO     | forex_scraper.scrape | [GBPINR] Calling historical API...
2026-03-02 11:48:43 | INFO     | forex_scraper.scrape | [GBPINR] Status: 200
2026-03-02 11:48:43 | INFO     | forex_scraper.scrape | [GBPINR] Parsed 1608 records
2026-03-02 11:48:43 | INFO     | currency_scrape.service | [GBPINR] OK 1608 records scraped
2026-03-02 11:48:43 | INFO     | currency_scrape.service | Waiting 7.7s before next pair...
2026-03-02 11:48:51 | INFO     | forex_scraper.scrape | [JPYINR] Priming cookies via main page...
2026-03-02 11:48:52 | INFO     | forex_scraper.scrape | [JPYINR] Cookies primed. Waiting 3.4s...
2026-03-02 11:48:55 | INFO     | forex_scraper.scrape | [JPYINR] Calling historical API...
2026-03-02 11:48:57 | INFO     | forex_scraper.scrape | [JPYINR] Status: 200
2026-03-02 11:48:57 | INFO     | forex_scraper.scrape | [JPYINR] Parsed 1608 records
2026-03-02 11:48:57 | INFO     | currency_scrape.service | [JPYINR] OK 1608 records scraped
2026-03-02 11:48:57 | INFO     | currency_scrape.service | Data saved to forex_data_20260302_114857.json
2026-03-02 11:48:57 | INFO     | currency_scrape.service | Scrape complete | 7/7 pairs | 11263 records | 78.05s
2026-03-02 11:59:12 | INFO     | forex_scraper.main | Forex Scraper Microservice shutting down...
2026-03-04 17:16:00 | INFO     | forex_scraper.main | ==================================================
2026-03-04 17:16:00 | INFO     | forex_scraper.main | Forex Scraper Microservice starting...
2026-03-04 17:16:00 | INFO     | forex_scraper.main | Startup complete. Server ready.
2026-03-04 17:16:00 | INFO     | forex_scraper.main | ==================================================
2026-03-04 17:23:02 | INFO     | currency_scrape.service | Scrape started | Pairs: ['USDINR', 'EURUSD', 'EURINR', 'GBPINR', 'USDJPY', 'GBPUSD', 'JPYINR'] | 2020-01-01 -> 2026-03-04
2026-03-04 17:23:02 | INFO     | forex_scraper.scrape | [USDINR] Priming cookies via main page...
